2026-09-04 08:19:53 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1500/4000 train images
2026-09-04 08:20:28 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1550/4000 train images
2026-09-04 08:20:59 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1600/4000 train images
2026-09-04 08:21:26 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1650/4000 train images
2026-09-04 08:21:56 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1700/4000 train images
2026-09-04 08:22:29 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1750/4000 train images
2026-09-04 08:22:57 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1800/4000 train images
2026-09-04 08:23:31 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1850/4000 train images
2026-09-04 08:24:05 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1900/4000 train images
2026-09-04 08:24:35 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1950/4000 train images
2026-09-04 08:25:10 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2000/4000 train images
2026-09-04 08:25:38 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2050/4000 train images
2026-09-04 08:26:10 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2100/4000 train images
2026-09-04 08:26:42 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2150/4000 train images
2026-09-04 08:27:11 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2200/4000 train images
2026-09-04 08:27:46 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2250/4000 train images
2026-09-04 08:28:20 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2300/4000 train images
2026-09-04 08:28:51 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2350/4000 train images
2026-09-04 08:29:22 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2400/4000 train images
2026-09-04 08:29:55 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2450/4000 train images
2026-09-04 08:30:31 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2500/4000 train images
2026-09-04 08:31:01 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2550/4000 train images
2026-09-04 08:31:32 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2600/4000 train images
2026-09-04 08:32:06 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2650/4000 train images
2026-09-04 08:32:40 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2700/4000 train images
2026-09-04 08:33:12 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2750/4000 train images
2026-09-04 08:33:36 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2800/4000 train images
2026-09-04 08:34:10 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2850/4000 train images
2026-09-04 08:34:38 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2900/4000 train images
2026-09-04 08:35:07 | INFO     | __main__:ensure_student_cache:192 | Student predicted 2950/4000 train images
2026-09-04 08:35:37 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3000/4000 train images
2026-09-04 08:36:10 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3050/4000 train images
2026-09-04 08:36:41 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3100/4000 train images
2026-09-04 08:37:09 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3150/4000 train images
2026-09-04 08:37:43 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3200/4000 train images
2026-09-04 08:38:14 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3250/4000 train images
2026-09-04 08:38:44 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3300/4000 train images
2026-09-04 08:39:17 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3350/4000 train images
2026-09-04 08:39:48 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3400/4000 train images
2026-09-04 08:40:21 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3450/4000 train images
2026-09-04 08:40:51 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3500/4000 train images
2026-09-04 08:41:22 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3550/4000 train images
2026-09-04 08:41:49 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3600/4000 train images
2026-09-04 08:42:26 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3650/4000 train images
2026-09-04 08:42:57 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3700/4000 train images
2026-09-04 08:43:28 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3750/4000 train images
2026-09-04 08:44:00 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3800/4000 train images
2026-09-04 08:44:28 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3850/4000 train images
2026-09-04 08:45:03 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3900/4000 train images
2026-09-04 08:45:36 | INFO     | __main__:ensure_student_cache:192 | Student predicted 3950/4000 train images
2026-09-04 08:46:05 | INFO     | __main__:ensure_student_cache:192 | Student predicted 4000/4000 train images
2026-09-04 08:46:06 | INFO     | __main__:ensure_student_cache:197 | Cached student predictions to /scratch/rpachgha/aecs-sdc/results/tier1b/student_predictions.json
2026-09-04 08:46:06 | INFO     | __main__:ensure_pool_embeddings:238 | Computing ResNet18 embeddings for TRAIN_POOL
2026-09-04 08:48:00 | INFO     | __main__:ensure_pool_embeddings:253 | Cached 4000 pool embeddings to /scratch/rpachgha/aecs-sdc/results/tier1b/pool_embeddings.npy
2026-09-04 08:49:01 | INFO     | aecs_sdc.tier1:prepare_yolo_dataset:141 | Prepared YOLO dataset at /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/random_k250_seed42/yolo_random_k250_seed42: train=250, val=1000
2026-09-04 08:49:07 | INFO     | __main__:train_and_evaluate:277 | Training run train on /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/random_k250_seed42/yolo_random_k250_seed42/data.yaml
2026-09-04 08:52:57 | INFO     | __main__:train_and_evaluate:311 | Evaluating train on held-out human TEST
2026-09-04 08:53:22 | INFO     | __main__:run_experiment:464 | Result random_k250_seed42: mAP50=0.236505 mAP50-95=0.164973
2026-09-04 08:54:03 | INFO     | aecs_sdc.tier1:prepare_yolo_dataset:141 | Prepared YOLO dataset at /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/random_k250_seed43/yolo_random_k250_seed43: train=250, val=1000
2026-09-04 08:54:03 | INFO     | __main__:train_and_evaluate:277 | Training run train on /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/random_k250_seed43/yolo_random_k250_seed43/data.yaml
2026-09-04 08:58:18 | INFO     | __main__:train_and_evaluate:311 | Evaluating train on held-out human TEST
2026-09-04 08:58:44 | INFO     | __main__:run_experiment:464 | Result random_k250_seed43: mAP50=0.24764 mAP50-95=0.171743
2026-09-04 08:59:45 | INFO     | aecs_sdc.tier1:prepare_yolo_dataset:141 | Prepared YOLO dataset at /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/random_k250_seed44/yolo_random_k250_seed44: train=250, val=1000
2026-09-04 08:59:45 | INFO     | __main__:train_and_evaluate:277 | Training run train on /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/random_k250_seed44/yolo_random_k250_seed44/data.yaml
2026-09-04 09:02:47 | INFO     | __main__:train_and_evaluate:311 | Evaluating train on held-out human TEST
2026-09-04 09:03:03 | INFO     | __main__:run_experiment:464 | Result random_k250_seed44: mAP50=0.249282 mAP50-95=0.174331
